timestamp,machine_id,temperature,pressure,vibration,rpm,voltage,current,humidity,operating_hours,maintenance_days,fault_code,failure_next_7_days,production_batch
1/1/2025 0:00,Machine_C,,33.55,2.19,2046.32,222.67,10.81,34.89,1019,24,0,1,B1000
1/1/2025 6:00,Machine_D,67.04,30.59,2.22,1716.58,226.27,11.36,35.87,1016,49,0,0,B1000
1/1/2025 12:00,Machine_D,64.55,27.76,2.59,1759.36,230.54,8.86,49.56,1010,21,0,1,B1000
1/1/2025 18:00,Machine_A,70.67,30.2,1.88,1691.69,244.82,10.98,44.42,1050,78,0,0,B1000
1/2/2025 0:00,Machine_D,71.25,26.12,1.47,1835.44,235.91,11.26,53.84,1043,82,0,0,B1000
1/2/2025 6:00,Machine_A,68.19,33.03,1.29,1858.34,226.92,9.98,61.12,1063,63,1,0,B1000
1/2/2025 12:00,Machine_C,72.86,35.91,2.08,1907.47,222.83,10.83,69.69,1088,44,0,0,B1000
1/2/2025 18:00,Machine_A,63.26,32.98,1.97,1884.2,235.89,9.83,46.56,1090,9,1,0,B1000
1/3/2025 0:00,Machine_D,61.49,35.13,2.36,1803.42,225.72,8.76,47.11,1107,71,0,0,B1000
1/3/2025 6:00,Machine_B,74.46,27.6,2.36,1781.05,222.36,10.38,41.01,1098,89,0,0,B1000
1/3/2025 12:00,Machine_A,61.9,28.94,2.05,1575.1,,10.77,45.93,1131,88,1,0,B1001
1/3/2025 18:00,Machine_A,65.1,,1.67,1995.61,238.04,10.34,54.16,1143,1,0,0,B1001
1/4/2025 0:00,Machine_D,81.79,26.18,1.69,1830.36,220.01,10,53.63,1157,70,0,0,B1001
1/4/2025 6:00,Machine_D,78.41,30.52,2.37,2107.19,236.99,11.01,51.34,1154,20,0,0,B1001
1/4/2025 12:00,Machine_A,72.57,24.59,2.19,1966.76,223.3,12.02,73.72,1154,16,1,0,B1001
1/4/2025 18:00,Machine_D,72.38,32.19,2.2,1773.55,231.44,12.45,44.35,1175,3,2,0,B1001
1/5/2025 0:00,Machine_A,65.92,32.7,2.12,1671.42,244.93,11.71,43.09,1204,68,0,0,B1001
1/5/2025 6:00,Machine_D,73.94,36.03,1.71,1627.22,,11.95,85.61,1205,22,0,0,B1001
1/5/2025 12:00,Machine_A,75.46,31.91,1.23,1647.48,240.92,12.76,51.27,1214,4,0,0,B1001
1/5/2025 18:00,Machine_A,,31.97,2.08,1909.26,227.21,11.91,35.56,1238,60,2,0,B1001
1/6/2025 0:00,Machine_A,66.34,29.56,1.07,1751.76,238.77,10.5,61.35,1242,66,0,0,B1002
1/6/2025 6:00,Machine_B,63.52,34.62,2.43,1627.38,241.06,12.36,48.96,1266,50,2,0,B1002
1/6/2025 12:00,Machine_B,66.66,31.62,1.38,2160.06,,12.8,56.5,1249,15,0,0,B1002
1/6/2025 18:00,Machine_A,70.85,30.38,2.31,1791.42,234.15,10.41,59.38,1285,47,0,0,B1002
1/7/2025 0:00,Machine_D,70.09,33.33,2.42,1686.86,,8.5,47.28,1268,34,0,0,B1002
1/7/2025 6:00,Machine_A,79.97,28.22,2.37,2181.99,238.26,8.72,50.16,1295,51,1,1,B1002
1/7/2025 12:00,Machine_B,74.19,33.8,1.81,1423.12,226.64,11.21,55.02,1296,4,0,0,B1002
1/7/2025 18:00,Machine_B,74.54,32.21,1.85,1820.43,235.3,13.38,42.62,1336,61,0,0,B1002
1/8/2025 0:00,Machine_C,73.01,35.18,1.73,1643.74,225.64,9.1,56.1,1338,81,0,0,B1002
1/8/2025 6:00,Machine_B,67.42,30.13,1.86,1971.36,241.62,11.54,60.81,1348,36,0,0,B1002
1/8/2025 12:00,Machine_D,95,33.58,1.85,1701.41,238.35,11.34,39.66,1352,23,1,0,B1003
1/8/2025 18:00,Machine_A,72.18,31.02,3.3,1521.9,223.26,11.59,53.75,1382,52,0,0,B1003
1/9/2025 0:00,Machine_A,71.21,29.59,1.42,1848.48,244.51,11.61,55.9,1401,7,0,0,B1003
1/9/2025 6:00,Machine_A,,33.68,2.35,2007.78,226.18,10,68.6,1406,19,1,0,B1003
1/9/2025 12:00,Machine_C,65.25,28.48,1.37,1724.01,241.55,8.13,63.52,1426,1,0,0,B1003
1/9/2025 18:00,Machine_A,74.61,27.66,1.66,1738.22,233.66,11.1,64.84,1410,36,0,0,B1003
1/10/2025 0:00,Machine_B,67.17,30.33,1.64,2074.65,232.94,11.31,46.24,1419,36,0,0,B1003
1/10/2025 6:00,Machine_B,68.59,29.61,1.46,1741.79,220.01,13.59,40.07,1452,13,2,0,B1003
1/10/2025 12:00,Machine_B,80.11,26.81,2.06,1986.69,227.52,9.25,53.92,1446,85,1,0,B1003
